nombre,recomendacion de itinerario,direccion,estado,enlace al sitio en google maps
CUARENTENA BAKING,https://www.youtube.com/embed/3X9tP8_vWDQ?feature=oembed,"Puebla 57, Roma Norte",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4236792%2C-99.1572113&query_place_id=ChIJP5wy0t__0YURisY0xP7A8DE
JAWA RESTAURANTE DE INDONESIA,https://www.youtube.com/embed/MuaMUDnDmrQ?feature=oembed,"Alejandro Dumas 125, Polanco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4321322%2C-99.19550729999999&query_place_id=ChIJw7Qxj3kD0oURBugow0fSsGA
CUBA CARIBE,https://www.youtube.com/embed/3srcYZlxJGw?feature=oembed,"Isabel La Católica 423, Obrera, Cuauhtémoc, 06800 Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4085773%2C-99.1391857&query_place_id=ChIJx2kOeS7_0YURkvdVk6Sqp9w
PUPUSAS SALVADOREÑAS MELI,https://www.youtube.com/embed/V_8Bvo3mbLc?feature=oembed,"Gral. Heriberto Jara 90, Constitución de 1917, Iztapalapa",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3498456%2C-99.0585672&query_place_id=ChIJuUYySLn90YUR-tUtPSZVKho
BIRRIA TECATITLÁN,https://www.youtube.com/embed/XNWs3ls6vxM?feature=oembed,"Nogal 12, Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4710483%2C-103.3076197&query_place_id=ChIJiaIMBuqTL4QRWN3Ve2Mv2pE
TAQUERÍA LOS CARAMELOS,https://www.youtube.com/embed/NNDw-FSJPnw?feature=oembed,"Bajío 321, Roma Sur",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4027915%2C-99.1686695&query_place_id=ChIJnZBjSN3_0YURnkzMrNIlI6E
LAS BRUJAS WITCHCRAFT CAFÉ,https://www.youtube.com/embed/JVoa2oSAI-o?feature=oembed,"Rubens 67, col. San Juan Mixcoac",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3778028%2C-99.18394959999999&query_place_id=ChIJq9v0c8X_0YUR9dJ8PCWgGCo
MONJAS CLARISAS DE SAN JUANICO,https://www.youtube.com/embed/sB7BD9a0iXk?feature=oembed,"Tláloc 3, Tlalnepantla, Estado de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.5184432%2C-99.11024929999999&query_place_id=ChIJWx2Vkfr50YURONOoF9sMKYY
MEGA ANTOJITOS MEXICANOS MARTÍNEZ,https://www.youtube.com/embed/8vIO6e2EcZk?feature=oembed,"Prolongación Cerrada José López Bonaga #260, Local 197",En operaciones,https://www.google.com/maps/search/?api=1&query=19.6610512%2C-99.0984771&query_place_id=ChIJZ_7bqUXz0YURdmrfQiPlzSQ
CASA KIM,https://fb.watch/lDoZ1pAT2z/,"Av. Insurgentes Sur 488, col. Roma Sur",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4041332%2C-99.1684708&query_place_id=ChIJyz5bkin_0YURwUc6fYJ1uug
VENDAVAL,https://www.youtube.com/embed/tGOnYBzQpxs?feature=oembed,"Guillermo Prieto 46, col. San Rafael",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4373956%2C-99.1626331&query_place_id=ChIJM159oYf50YURqlC1-XjOpXQ
COMEDOR ZIBA,https://www.youtube.com/embed/NlRNqiLT2ik?feature=oembed,"Filosofía y Letras 51, col. Copilco Universidad, Coyoacán",En operaciones,https://www.google.com/maps/search/?api=1&query=19.334022%2C-99.1772948&query_place_id=ChIJCX3g8PgBzoURitUrPsD4cOc
RESTAURANTE ALIOLI,https://www.youtube.com/embed/fgiXZuSh6RQ?feature=oembed,"Medellín 238, col. Roma Sur",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4098712%2C-99.1639015&query_place_id=ChIJq-4lRz7_0YURKHxVrartYLU
POLLOS SIN-ALOAS,https://www.youtube.com/embed/fx-RVrgR7Ok?feature=oembed,"Doctor Rafael Lucio 134, col. Doctores, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4206331%2C-99.152034&query_place_id=ChIJRUrU9yX_0YURb7USMU1SsiY
PULQUERÍA LA ROSITA,https://www.youtube.com/embed/8C6G0xNIXgo?feature=oembed,"Callejón San Antonio Abad 106, col. Esperanza",Cerrado temporalmente,https://www.google.com/maps/search/?api=1&query=19.4213161%2C-99.1277849&query_place_id=ChIJDz5SGMb-0YURg1WrYGrldSs
PERRO FLACO,https://www.youtube.com/embed/uC-dMR4x1hQ?feature=oembed,"Pedro Romero de Terreros 520, código 2, col. Del Valle",Cerrado permanentemente,
PANADERÍA PANK,https://www.youtube.com/embed/fXOApA-DoHM?feature=oembed,"Dr. Mariano Azuela 92, col. Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4456691%2C-99.15472179999999&query_place_id=ChIJHwwhf4D50YURUScq3WNrods
LOS TURCOS,https://www.youtube.com/embed/4-0VvgDZG74?feature=oembed,"Medellín 166, col. Roma Norte",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4136052%2C-99.1649162&query_place_id=ChIJVyDGqW__0YUR-P5vq8LM7nM
BAMBÚ BISTROT,https://www.youtube.com/embed/5Xt7BacITuA?feature=oembed,"Calle Chimalcoyotl 116A, Toriello Guerra, Tlalpan",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.2954802%2C-99.1641751&query_place_id=ChIJ9WKR28UBzoURVFBbGQUkhXY
MAÍZ DE CACAO,https://www.youtube.com/embed/x7aQyfYhou4?feature=oembed,"Córdoba 148, col. Roma Norte, Ciudad de MéxicoInstagram y FB: @maizdecacao",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4165634%2C-99.1579402&query_place_id=ChIJJVJuYOr_0YUR0J0QWTA_vWc
LA COCINA DE SEIGRI,https://www.youtube.com/embed/LnVR5_RvGi0?feature=oembed,"Calle Salvador Díaz Mirón 110, Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4487565%2C-99.1575587&query_place_id=ChIJF8AfciH50YUR9mXt5CHcWcI
ERRANTE CHOCOLATERÍA,https://www.youtube.com/embed/NShi3FO6Vy8?feature=oembed,"Calzada México-Tacuba 114, col. Anáhuac 1a Secc., Miguel Hidalgo ",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4458764%2C-99.1697483&query_place_id=ChIJC64r9q750YUR4ZunJ569ikk
CAFÉ ESTACIONES,https://www.youtube.com/embed/l_Xh06rni1U?feature=oembed,"Héroes Ferrocarril 28, Buenavista, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4413025%2C-99.154654&query_place_id=ChIJt9wZVg8C0oURrQC3k_96RXU
KANG'S COCINA,https://www.youtube.com/embed/OMCfLz88H3A?feature=oembed,"Miguel Negrete #6, Niños Héroes de Chapultepec",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3872101%2C-99.14624219999999&query_place_id=ChIJi3GcJwr_0YURRSh8zirRclQ
RAÍCES CENTRO CULTURAL,https://www.youtube.com/embed/MpEQ62S3Pjs?feature=oembed,"Av. Pdte. Plutarco Elías Calles #1810, Banjidal",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3633518%2C-99.1383118&query_place_id=ChIJo0xPs7T_0YURUNcR2oRhQM4
KURUCH,https://www.youtube.com/embed/_X_uL-I5gMI?feature=oembed,"Calle Mitla 88, col. Narvarte",En operaciones,https://www.google.com/maps/search/?api=1&query=19.39662%2C-99.1493983&query_place_id=ChIJ_VPyAm3_0YUR9cAUMfnDZY8
LA CONCHERÍA,https://www.youtube.com/embed/Pv_uVHr9p4o?feature=oembed,"Av. Azcapotzalco 706 C, Centro de Azcapotzalco",Cerrado permanentemente,
PAUSITA CAFÉ,https://www.youtube.com/embed/l8T_vgynFH8?feature=oembed,"Manuel Carpio 149, col. Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4510999%2C-99.15925829999999&query_place_id=ChIJN2OOnLz50YURy7ZnFGyGcrg
LA CHALUPERÍA,https://www.youtube.com/embed/ainU711dEts?feature=oembed,"Miguel E. Schultz 8, col. San Rafael",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4407223%2C-99.1595614&query_place_id=ChIJwff3v0D50YURGeN1w6FW8k8
HORTY SALTEÑERÍA,https://youtu.be/4nmGbVkygok,"Av. Yucatán 84 B, col. Roma",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4141568%2C-99.1627341&query_place_id=ChIJQxYYrT7_0YURwkc_ejRZAJ4
"LA SÚPER ATÓMICA, TORTAS DE LENGUA DESDE 1947",https://youtu.be/QivcobQN27s,"Eligio Ancona 238, Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4532211%2C-99.1616718&query_place_id=ChIJFT40L8L40YURQOdPlkTfgWo
BUCHIDO,https://youtu.be/jp7rK_2dD0g,"Calle Norte 89-A, Local 24-C, Clavería",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.4687589%2C-99.18249089999999&query_place_id=ChIJv11Mavf50YURHVpP4w4Uzfc
AHUMADOS PELICAN,https://www.youtube.com/embed/4YW7U2hc5V0?feature=oembed,"Jaime Torres Bodet 204, Santa María La Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.45181449999999%2C-99.1573938&query_place_id=ChIJdYg2Utj50YUR4L8GH2NbOx8
DHARMA BUNS,https://www.youtube.com/embed/dba5mWiMGcU?feature=oembed,"Tehuantepec 254, col. Roma Sur",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4037136%2C-99.16850149999999&query_place_id=ChIJM116nlf_0YURiIofh9slilE
KYRIE VASILI,https://www.youtube.com/embed/p3RbF-QPFGM?feature=oembed,"Ángel Urraza 1503, col. Vértiz Narvarte",Cerrado temporalmente,https://www.google.com/maps/search/?api=1&query=19.3665043%2C-99.12882019999999&query_place_id=ChIJtRY4PKb_0YURH8_uZsXm0xg
GRIS CAFÉ,https://www.youtube.com/embed/0j7-uUt_mak?feature=oembed,"Lerdo 304, Edificio Ignacio Zaragoza, local 9, Nonoalco Tlatelolco",Cerrado permanentemente,
DOG & ROLL,https://www.youtube.com/embed/-GfvJO95jWA?feature=oembed,"Tokio #319, Portales",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3700085%2C-99.1523394&query_place_id=ChIJAy9t50P_0YUR1gfOrc1s9ss
LONCHERÍA SUVAI,https://www.youtube.com/embed/bl6JXrme_Jg?feature=oembed,"Concepción Beistegui #619, Del Valle",En operaciones,https://www.google.com/maps/search/?api=1&query=19.42720389999999%2C-99.19716240000001&query_place_id=ChIJbV9hS77_0YUR_Z6-2uHzYLA
MIELMESABE BAKERY,https://www.youtube.com/embed/VYJEGdHGrwc?feature=oembed,"Monterrey 225-1A, Roma Norte",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4117166%2C-99.1627843&query_place_id=ChIJIU45y9D_0YURVQjTbRrv-3M
COCINA DE HUMO Y AGUARDIENTE “DON TOÑO”,https://www.youtube.com/embed/IXQwC7VrXk8?feature=oembed,"Calle Mina #13, Acatlán de Osorio",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.4261362%2C-99.1659729&query_place_id=ChIJx_gd3zX_0YURhh2ieItWFZ0
BLU CAFÉ,https://www.youtube.com/embed/pSjht1_aeLY?feature=oembed,"Saratoga #525 Bis, col. Portales",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3670935%2C-99.1511877&query_place_id=ChIJO9IdvkT_0YURISWE93xI2pM
SALEM WITCH STORE & COFFEE,https://www.youtube.com/embed/opbufqt-E7s?feature=oembed,"Diag. San Antonio #1747, Narvarte Poniente",En operaciones,https://www.google.com/maps/search/?api=1&query=19.400048%2C-99.14871459999999&query_place_id=ChIJQTmOqh3_0YURBP5tKK2N0-Q
HUESITOS EL GÜERO,https://www.youtube.com/embed/Hc_DDZhnks8?feature=oembed,"H. Congreso de la Unión Oriente #95, col. Mártires de Río Blanco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.462256%2C-99.1131461&query_place_id=ChIJfQ2pl2j50YUR9bltFxbw22s
XUVA,https://www.youtube.com/embed/SaYnEGm4Qs0?feature=oembed,"Salvador Díaz Mirón #128, Santa María La Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4489027%2C-99.15838620000001&query_place_id=ChIJ-2kCr_L50YURL_aXt6H7BuY
SALVAXE,https://www.youtube.com/embed/ipsCbNUZBeU?feature=oembed,"Isabel La Católica 1147-local i, Independencia, Benito Juárez, 03630 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3807869%2C-99.1439468&query_place_id=ChIJFwR4TuT_0YURauGqBMswZ1w
2 CONEJO. HELADOS DE PULQUE,https://www.youtube.com/embed/qMbsr2kzvO4?feature=oembed,"Insurgentes Centro #60, Tabacalera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4370503%2C-99.15667030000002&query_place_id=ChIJP5GlMN3-0YURuZao0ESCYS4
LA BELLA CAROLINA,https://www.youtube.com/embed/-ynJF0_14ek?feature=oembed,"Nicolás Bravo 29, Magdalena Mixhuca",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4095362%2C-99.1197902&query_place_id=ChIJAwLPlpX-0YURpsy435pZTWk
DON LÁZARO EL VIAJERO,https://www.youtube.com/embed/XisfUTP43Xs?feature=oembed,"Av. Instituto Técnico Industrial #241, Col. Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4519714%2C-99.16392409999999&query_place_id=ChIJj1dQDsH40YURhsDE4qeRpLU
VEGANÍSIMO. LONCHERÍA VEGANA,https://www.youtube.com/embed/au0ZDaLjuu0?feature=oembed,"Av. Coyoacán #1435, col. Del Valle",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3712829%2C-99.17118610000001&query_place_id=ChIJtQekcpf_0YURQfoYAPus2cg
LAS AUTÉNTICAS GORDITAS DE TACUBA,https://www.youtube.com/embed/PgtjnQNdqoQ?feature=oembed,"Calle Golfo de Bengala #1211, Tacuba",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4572043%2C-99.18622649999999&query_place_id=ChIJ7Z4KHZ_40YURwWmKhJLM34I
ESQUIMOS LA MODERNA,https://www.youtube.com/embed/G3QcaRArRCY?feature=oembed,"Mercado La Moderna L- 140, La Moderna, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3941354%2C-99.1341702&query_place_id=ChIJefCInPD-0YURdio0soD5t8c
KROKET,https://www.youtube.com/embed/KyJFmG1JSqE?feature=oembed,"Pedro Romero de Terreros #19, col. Del Valle",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3957637%2C-99.1708791&query_place_id=ChIJTVZCeHL_0YURzSC85LC6PCQ
EL SUEÑO DE FRIDA (CAFÉ),https://www.youtube.com/embed/4-gA7ewoU4I?feature=oembed,"Tizimín #193, esq. Hopelchén, col. Lomas de Padierna",En operaciones,https://www.google.com/maps/search/?api=1&query=19.2889564%2C-99.22341929999999&query_place_id=ChIJc8pb72T_zYURLeZTUzY3UYs
MAIZAJO,https://www.youtube.com/embed/rgce7fCj4nU?feature=oembed,"Soledad #556, El Jaguey, Azcapotzalco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4902441%2C-99.17146989999999&query_place_id=ChIJXbwmJ2b40YURmtGpCDJwN9Q
Pupusería La Piscucha,https://www.youtube.com/embed/FarkgrR816E?feature=oembed,"Nogal #275, Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4542859%2C-99.1630046&query_place_id=ChIJA1rFno750YURMiGakYoILHM
PIZZAS IXIM,https://www.youtube.com/embed/kO59Ch7Q7b0?feature=oembed,"Calle 24 #595, col. Trabajadores de Hierro",En operaciones,https://www.google.com/maps/search/?api=1&query=19.477258%2C-99.1481448&query_place_id=ChIJ23Kjbvn50YURR8sL1R4oE_Q
TORTAS DE LA CUCHILLA DESDE 1915,https://www.youtube.com/embed/Yz3TSMD1Es8?feature=oembed,"Dr. Liceaga #167, col. Doctores",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4225558%2C-99.1519014&query_place_id=ChIJDT0dOi__0YURX35-Clula9s
PITIWIS,https://www.youtube.com/embed/FLzx9oyFbpo?feature=oembed,"Mártires Irlandeses #131, San Diego Churubusco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.34995989999999%2C-99.1501696&query_place_id=ChIJk6rrCtL_0YURRnmml0F_Mg0
YALA YALA TAQUERA,https://www.youtube.com/embed/PRGf_cRd7Zo?feature=oembed,"Matías Romero 98-Local 2, col. Del Valle",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3814437%2C-99.1705644&query_place_id=ChIJwSrCTAD_0YURMiPJrl_XClk
HOLLAND WAFELS,https://www.youtube.com/embed/xpAcMIxDzMI?feature=oembed,"Versalles #78, col. Juárez",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4282542%2C-99.15533029999999&query_place_id=ChIJJQ8aLTn_0YURBphEGG9G93s
LA AHOGADA DE DON FEDE,https://www.youtube.com/embed/fkx3JnLhArY?feature=oembed,"Bretaña #147 D, Zacahuitzco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3725155%2C-99.1351512&query_place_id=ChIJv5mEjk_-0YUR4f5kfU2tBSo
VEGGIE KOI SUSHI,https://www.youtube.com/embed/Uia96OxhGIE?feature=oembed,"Sur 73, #273, col. Sinatel",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3595889%2C-99.1343844&query_place_id=ChIJiw_PZfP_0YURNut_uPtM3tI
PÁT PATZ,https://www.youtube.com/embed/T0QTAjKUg1U?feature=oembed,"Oslo 7, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.427774%2C-99.16359&query_place_id=ChIJ32ud9kn_0YURW8eG2N2a8H8
GATO GORDO,https://www.youtube.com/embed/hJIRJgmk1tw?feature=oembed,"Río Pánuco #191, Cuauhtémoc",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3296983%2C-99.28572349999999&query_place_id=ChIJmcOc-z8B0oURAhPOQ_4Vj_Y
EL DESASTRE,https://www.youtube.com/embed/Dq6fCgGF8Js?feature=oembed,"San Francisco #521, col. del Valle",En operaciones,https://www.google.com/maps/search/?api=1&query=19.39148059999999%2C-99.17134229999999&query_place_id=ChIJ37F30ED_0YURJSIQ9MLeYj4
SOCARRAT,https://www.youtube.com/embed/DkIHVOXvj4I?feature=oembed,"Heriberto Frías 573 Local A-1, Narvarte Poniente",En operaciones,https://www.google.com/maps/search/?api=1&query=19.391426%2C-99.1601177&query_place_id=ChIJt8zRPXb_0YURgafrgvmFDHU
SABORES DE JALISCO,https://www.youtube.com/embed/Yh2CyJYE70g?feature=oembed,"Av. Patriotismo #84, Escandón",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4159772%2C-99.1410604&query_place_id=ChIJaTg5T9n-0YURY_GLcZVsjy4
TALLER SIROP,https://www.youtube.com/embed/pBGg-WSo0yw?feature=oembed,"Av. Camarones #155 B, col. Nueva Santa María, Azcapotzalco",Cerrado permanentemente,
TALLER XILOTL,https://www.youtube.com/embed/3D7ITSuph78?feature=oembed,"Privada Arce #3, esquina Dr. Arce, col. Doctores, CDMX",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4236271%2C-99.16984199999999&query_place_id=ChIJudBwkKj_0YURByPLsAEHlzc
RESTAURANTE ALBERTO'S,https://www.youtube.com/embed/M6g5HmHJ_oo?feature=oembed,"Tepantongo #246, Reynosa Tamaulipas, Azcapotzalco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4950919%2C-99.1853687&query_place_id=ChIJtx82pHb40YURdEVhuQNLHA4
CHICAGO BERNIE'S BEEF BIKE,https://www.youtube.com/embed/8eYgysqx3ps?feature=oembed,"Francisco Pimentel #14, col. San Rafael",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4372959%2C-99.1626763&query_place_id=ChIJhRguV-T50YUR8mM6i6wkrfc
RESTAURANTE TEMPORADA,https://www.youtube.com/embed/HEfpYOrl3yk?feature=oembed,"Joaquín Velázquez de León #89, col. San Rafael",En operaciones,https://www.google.com/maps/search/?api=1&query=19.2962276%2C-99.1838894&query_place_id=ChIJE2xb7lgBzoURbxa0EDhxzfI
Srita. PIBIL,https://www.youtube.com/embed/7MLIsoyVzFM?feature=oembed,"Miguel Laurent 75 - L34 Mercado, Tlacoquemecatl del Valle, Ciudad de México",Cerrado permanentemente,
FAT VEGAN,https://www.youtube.com/embed/u4al3tqJRmQ,"San Luis Potosí #130, Roma Norte.",Cerrado permanentemente,https://www.google.com/maps/search/?api=1&query=19.4137792%2C-99.1606748&query_place_id=ChIJ0cSew47_0YURMPA3Pry1S3A
AMASIJO PANADERÍA,https://www.youtube.com/embed/zmszKLysmy4,"Caleta #554 Local A, col. Narvarte, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3959221%2C-99.1481094&query_place_id=ChIJnbbEeM3_0YURKJIVJNMJ6tw
NAAN. CURRY VEGANO,https://www.youtube.com/embed/BI2_ocvfPCY,Santa María la Ribera #12 (entrada por el Jardín Mascarones),En operaciones,https://www.google.com/maps/search/?api=1&query=19.4102567%2C-99.16933619999999&query_place_id=ChIJSb0ElJH_0YURySmdf6ck9ME
DIINOS TACOS & ANTOJOS,https://www.youtube.com/embed/gM5YTlKfG2k,"Gabino Barreda #117 Local A, Col. San Rafael, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4361788%2C-99.16443989999999&query_place_id=ChIJB3ig2Eb50YURQ1uhMgFYNGw
RESTAURANTE CORREO ESPAÑOL,https://www.youtube.com/embed/b_kPknzfBWc,"Peralvillo #30, Col. Morelos",En operaciones,https://www.google.com/maps/search/?api=1&query=19.446306%2C-99.132882&query_place_id=ChIJzV7YkDr50YURt99K6Lqepos
HAMBURGUESAS EL CABALLO DE TROYA RACING,https://www.youtube.com/embed/HcSaXfoAOdI,"Norte 33 #80, col. Moctezuma, 2ª sección, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4353616%2C-99.09295069999999&query_place_id=ChIJ_____wD80YURM0ujyI8Hn78
PULQUERÍA LA BELLA CANDE,https://www.youtube.com/embed/97Df9ZRxjsY,"Av. Emilio Carranza 10, col. Moctezuma 1ª Secc., Venustiano Carranza",Cerrado permanentemente,
AFROMENÚ,,"Oriente 184 362, col. Moctezuma 2ª Sección",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4323535%2C-99.0911084&query_place_id=ChIJV20kA4D40YURRMvsLrXYUKw
PELIGRO AL FONDO,https://www.youtube.com/embed/cC06m4IIV6c,"Lerdo de Tejada #2170, col. Americana, Guadalajara, Jal.",En operaciones,https://www.google.com/maps/search/?api=1&query=20.6715705%2C-103.3720119&query_place_id=ChIJ0xiPFA-uKIQRhCbICqAITMA
TEJUINO MARCELINO,https://www.youtube.com/embed/2FwWGTdfY3M,"Joaquín Angulo #819, col. Capilla de Jesús, Guadalajara, Jalisco.",En operaciones,https://www.google.com/maps/search/?api=1&query=20.6818123%2C-103.3564723&query_place_id=ChIJ-8JQCAaxKIQRFzg-VN4zNMQ
DHARMA MOMOS,https://www.youtube.com/embed/c55o6-SIL0E,"Gobernador Rafael Rebollar #138, Col. San Miguel Chapultepec.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4362009%2C-99.1506981&query_place_id=ChIJU4GJgLz50YUReSaqlj-snrA
CAFÉ LA PAGODA,https://www.youtube.com/embed/tgP_FZBsDvw,"Av. 5 de Mayo #10, Col. Centro",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4347264%2C-99.139557&query_place_id=ChIJVYVBbCv50YUROqZsnaBCL3k
CHANTICO,https://www.youtube.com/embed/Uy0PPmHWMtk,"Azalea # 39, Xaltocan, Xochimilco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.5360293%2C-99.1837633&query_place_id=ChIJeUIbKjX30YURPLpIihCWTJ0
EL ESCAPULARIO,https://www.youtube.com/embed/wj_3MqDup6M,"García Vigil #617 altos, Centro, Oaxaca de Juárez, Oax.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.2940434%2C-99.6549081&query_place_id=ChIJlaTXnemJzYUR3Yi2iFfQ8pI
MEXCAL “DEL AMIGO”,https://www.youtube.com/embed/Cuv_B-p10cE,"Carretera internacional 190, kilómetro 48.4, Santiago Matatlán, Oaxaca",En operaciones,https://www.google.com/maps/search/?api=1&query=16.8721685%2C-96.3819891&query_place_id=ChIJFf2__BnLwIUR0lzBHXrJLm4
RICOS JUGOS,https://www.youtube.com/watch?v=EYaUC2v_v_g&pp=ygUWUklDT1MgSlVHT1MgaXRpbmVyYXJpbw%3D%3D,"Prisciliano Sánchez #1045, col. Americana, Guadalajara, Jalisco.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4972346%2C-99.0884001&query_place_id=ChIJNwyC4zr60YURTJ5_YKZRqsw
TLAYUDAS EL NEGRO,https://www.youtube.com/embed/cWUs65y5BJ0,"Av. Independencia # 310, Centro, Oaxaca de Juárez, Oax.",En operaciones,https://www.google.com/maps/search/?api=1&query=17.0579319%2C-96.71444699999999&query_place_id=ChIJnxhIAUkix4URTVRIaXUAqes
FRUTAS CRISTALIZADAS,https://www.youtube.com/embed/XTeo99eEHAQ,"Av. República Federal Sur, # 53, col. Santa Martha Acatitla",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4100695%2C-99.09223539999999&query_place_id=ChIJUT2szqv90YURLJN9by1-z7s
BIRRIA DON CHUY,https://www.youtube.com/embed/4r-MYZD3Iho,"Calle Violeta #30, col. Guerrero",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4411346%2C-99.1457159&query_place_id=ChIJHya_Kdb40YUR6_GbozvSiBs
VAGO IMPERIAL CAFÉ,https://www.youtube.com/embed/Jm8JMzgrDic,"José Guadalupe Zuno #2143, Col. Lafayette, Guadalajara, Jal.",En operaciones,https://www.google.com/maps/search/?api=1&query=20.6702954%2C-103.371356&query_place_id=ChIJu-k0Tw-uKIQR3XxW3OI7ZRg
TIERRADENTRO,https://www.youtube.com/embed/V3Tpca7ULKI,"Milán #22, Col. Juárez, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4305746%2C-99.156622&query_place_id=ChIJpwufhNr_0YUR8esEKvgd71w
PANADERÍA COSTRA,https://www.youtube.com/embed/UwzrLFZW7Yk,"Av. Universidad #371-B, col. Narvarte Poniente",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3829427%2C-99.1564691&query_place_id=ChIJHaaHdG3_0YURa5MA9WxFfvs
SAMADHI CAFÉ,https://www.youtube.com/embed/cnNGmixokOg,"Av. Municipio Libre #344, Sta. Cruz Atoyac",Cerrado permanentemente,
RESTAURANTE ODRA,https://www.youtube.com/embed/kxjNaMJKGo8,"Miguel Ramos Arizpe #38A, 38B, col. Tabacalera.",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4369096%2C-99.15282429999999&query_place_id=ChIJjVe3wNP40YURyZtTWW8eBAI
FODOR COCINA RUMANA,https://www.youtube.com/embed/ud63_bCCxG4,"Londres #187, Col. Juárez, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4243764%2C-99.16685489999999&query_place_id=ChIJtRdlDk3_0YURUg0lfonK65o
LA VASCONIA,https://www.youtube.com/embed/1JZ9n4qcI7I,"Tacuba #73, Centro Histórico",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4351212%2C-99.1351383&query_place_id=ChIJhcUobr340YUR71fklueZkmc
